ordenID,productoID,UnitPrice,Quantity,NombreProducto,categoriaID,clienteID,fecha,NombreCategoria,TotalVenta,Mes
10258,32,25.6,6,Mascarpone Fabioli,4,ERNSH,1996-07-17,Dairy Products,153.60000000000002,1996-07
10259,21,8.0,10,Sir Rodney's Scones,3,CENTC,1996-07-18,Confections,80.0,1996-07
10259,37,20.8,1,Gravad lax,8,CENTC,1996-07-18,Seafood,20.8,1996-07
10260,41,7.7,16,Jack's New England Clam Chowder,8,OTTIK,1996-07-19,Seafood,123.2,1996-07
10260,57,15.6,50,Ravioli Angelo,5,OTTIK,1996-07-19,Grains/Cereals,780.0,1996-07
10260,62,39.4,15,Tarte au sucre,3,OTTIK,1996-07-19,Confections,591.0,1996-07
10260,70,12.0,21,Outback Lager,1,OTTIK,1996-07-19,Beverages,252.0,1996-07
10261,21,8.0,20,Sir Rodney's Scones,3,QUEDE,1996-07-19,Confections,160.0,1996-07
10261,35,14.4,20,Steeleye Stout,1,QUEDE,1996-07-19,Beverages,288.0,1996-07
10262,5,17.0,12,Chef Anton's Gumbo Mix,2,RATTC,1996-07-22,Condiments,204.0,1996-07
10262,7,24.0,15,Uncle Bob's Organic Dried Pears,7,RATTC,1996-07-22,Produce,360.0,1996-07
10262,56,30.4,2,Gnocchi di nonna Alice,5,RATTC,1996-07-22,Grains/Cereals,60.8,1996-07
10263,16,13.9,60,Pavlova,3,ERNSH,1996-07-23,Confections,834.0,1996-07
10263,24,3.6,28,Guaraná Fantástica,1,ERNSH,1996-07-23,Beverages,100.8,1996-07
10263,30,20.7,60,Nord-Ost Matjeshering,8,ERNSH,1996-07-23,Seafood,1242.0,1996-07
10263,74,8.0,36,Longlife Tofu,7,ERNSH,1996-07-23,Produce,288.0,1996-07
10264,2,15.2,35,Chang,1,FOLKO,1996-07-24,Beverages,532.0,1996-07
10264,41,7.7,25,Jack's New England Clam Chowder,8,FOLKO,1996-07-24,Seafood,192.5,1996-07
10265,17,31.2,30,Alice Mutton,6,BLONP,1996-07-25,Meat/Poultry,936.0,1996-07
10265,70,12.0,20,Outback Lager,1,BLONP,1996-07-25,Beverages,240.0,1996-07
10266,12,30.4,12,Queso Manchego La Pastora,4,WARTH,1996-07-26,Dairy Products,364.79999999999995,1996-07
10267,40,14.7,50,Boston Crab Meat,8,FRANK,1996-07-29,Seafood,735.0,1996-07
10267,59,44.0,70,Raclette Courdavault,4,FRANK,1996-07-29,Dairy Products,3080.0,1996-07
10267,76,14.4,15,Lakkalikööri,1,FRANK,1996-07-29,Beverages,216.0,1996-07
10268,29,99.0,10,Thüringer Rostbratwurst,6,GROSR,1996-07-30,Meat/Poultry,990.0,1996-07
10268,72,27.8,4,Mozzarella di Giovanni,4,GROSR,1996-07-30,Dairy Products,111.2,1996-07
10269,33,2.0,60,Geitost,4,WHITC,1996-07-31,Dairy Products,120.0,1996-07
10269,72,27.8,20,Mozzarella di Giovanni,4,WHITC,1996-07-31,Dairy Products,556.0,1996-07
10270,36,15.2,30,Inlagd Sill,8,WARTH,1996-08-01,Seafood,456.0,1996-08
10270,43,36.8,25,Ipoh Coffee,1,WARTH,1996-08-01,Beverages,919.9999999999999,1996-08
10271,33,2.0,24,Geitost,4,SPLIR,1996-08-01,Dairy Products,48.0,1996-08
10272,20,64.8,6,Sir Rodney's Marmalade,3,RATTC,1996-08-02,Confections,388.79999999999995,1996-08
10272,31,10.0,40,Gorgonzola Telino,4,RATTC,1996-08-02,Dairy Products,400.0,1996-08
10272,72,27.8,24,Mozzarella di Giovanni,4,RATTC,1996-08-02,Dairy Products,667.2,1996-08
10273,10,24.8,24,Ikura,8,QUICK,1996-08-05,Seafood,595.2,1996-08
10273,31,10.0,15,Gorgonzola Telino,4,QUICK,1996-08-05,Dairy Products,150.0,1996-08
10273,33,2.0,20,Geitost,4,QUICK,1996-08-05,Dairy Products,40.0,1996-08
10273,40,14.7,60,Boston Crab Meat,8,QUICK,1996-08-05,Seafood,882.0,1996-08
10273,76,14.4,33,Lakkalikööri,1,QUICK,1996-08-05,Beverages,475.2,1996-08
10274,71,17.2,20,Flotemysost,4,VINET,1996-08-06,Dairy Products,344.0,1996-08
10274,72,27.8,7,Mozzarella di Giovanni,4,VINET,1996-08-06,Dairy Products,194.6,1996-08
10275,24,3.6,12,Guaraná Fantástica,1,MAGAA,1996-08-07,Beverages,43.2,1996-08
10275,59,44.0,6,Raclette Courdavault,4,MAGAA,1996-08-07,Dairy Products,264.0,1996-08
10276,10,24.8,15,Ikura,8,TORTU,1996-08-08,Seafood,372.0,1996-08
10276,13,4.8,10,Konbu,8,TORTU,1996-08-08,Seafood,48.0,1996-08
10277,28,36.4,20,Rössle Sauerkraut,7,MORGK,1996-08-09,Produce,728.0,1996-08
10277,62,39.4,12,Tarte au sucre,3,MORGK,1996-08-09,Confections,472.79999999999995,1996-08
10278,44,15.5,16,Gula Malacca,2,BERGS,1996-08-12,Condiments,248.0,1996-08
10278,59,44.0,15,Raclette Courdavault,4,BERGS,1996-08-12,Dairy Products,660.0,1996-08
10278,63,35.1,8,Vegie-spread,2,BERGS,1996-08-12,Condiments,280.8,1996-08
10278,73,12.0,25,Röd Kaviar,8,BERGS,1996-08-12,Seafood,300.0,1996-08
10279,17,31.2,15,Alice Mutton,6,LEHMS,1996-08-13,Meat/Poultry,468.0,1996-08
10280,24,3.6,12,Guaraná Fantástica,1,BERGS,1996-08-14,Beverages,43.2,1996-08
10280,55,19.2,20,Pâté chinois,6,BERGS,1996-08-14,Meat/Poultry,384.0,1996-08
10280,75,6.2,30,Rhönbräu Klosterbier,1,BERGS,1996-08-14,Beverages,186.0,1996-08
10281,19,7.3,1,Teatime Chocolate Biscuits,3,ROMEY,1996-08-14,Confections,7.3,1996-08
10281,24,3.6,6,Guaraná Fantástica,1,ROMEY,1996-08-14,Beverages,21.6,1996-08
10281,35,14.4,4,Steeleye Stout,1,ROMEY,1996-08-14,Beverages,57.6,1996-08
10282,30,20.7,6,Nord-Ost Matjeshering,8,ROMEY,1996-08-15,Seafood,124.19999999999999,1996-08
10282,57,15.6,2,Ravioli Angelo,5,ROMEY,1996-08-15,Grains/Cereals,31.2,1996-08
10283,15,12.4,20,Genen Shouyu,2,LILAS,1996-08-16,Condiments,248.0,1996-08
10283,19,7.3,18,Teatime Chocolate Biscuits,3,LILAS,1996-08-16,Confections,131.4,1996-08
10283,60,27.2,35,Camembert Pierrot,4,LILAS,1996-08-16,Dairy Products,952.0,1996-08
10283,72,27.8,3,Mozzarella di Giovanni,4,LILAS,1996-08-16,Dairy Products,83.4,1996-08
10284,27,35.1,15,Schoggi Schokolade,3,LEHMS,1996-08-19,Confections,526.5,1996-08
10284,44,15.5,21,Gula Malacca,2,LEHMS,1996-08-19,Condiments,325.5,1996-08
10284,60,27.2,20,Camembert Pierrot,4,LEHMS,1996-08-19,Dairy Products,544.0,1996-08
10284,67,11.2,5,Laughing Lumberjack Lager,1,LEHMS,1996-08-19,Beverages,56.0,1996-08
10285,1,14.4,45,Chai,1,QUICK,1996-08-20,Beverages,648.0,1996-08
10285,40,14.7,40,Boston Crab Meat,8,QUICK,1996-08-20,Seafood,588.0,1996-08
10285,53,26.2,36,Perth Pasties,6,QUICK,1996-08-20,Meat/Poultry,943.1999999999999,1996-08
10286,35,14.4,100,Steeleye Stout,1,QUICK,1996-08-21,Beverages,1440.0,1996-08
10286,62,39.4,40,Tarte au sucre,3,QUICK,1996-08-21,Confections,1576.0,1996-08
10287,16,13.9,40,Pavlova,3,RICAR,1996-08-22,Confections,556.0,1996-08
10287,34,11.2,20,Sasquatch Ale,1,RICAR,1996-08-22,Beverages,224.0,1996-08
10287,46,9.6,15,Spegesild,8,RICAR,1996-08-22,Seafood,144.0,1996-08
10288,54,5.9,10,Tourtière,6,REGGC,1996-08-23,Meat/Poultry,59.0,1996-08
10288,68,10.0,3,Scottish Longbreads,3,REGGC,1996-08-23,Confections,30.0,1996-08
10289,3,8.0,30,Aniseed Syrup,2,BSBEV,1996-08-26,Condiments,240.0,1996-08
10289,64,26.6,9,Wimmers gute Semmelknödel,5,BSBEV,1996-08-26,Grains/Cereals,239.4,1996-08
10290,5,17.0,20,Chef Anton's Gumbo Mix,2,COMMI,1996-08-27,Condiments,340.0,1996-08
10290,29,99.0,15,Thüringer Rostbratwurst,6,COMMI,1996-08-27,Meat/Poultry,1485.0,1996-08
10290,49,16.0,15,Maxilaku,3,COMMI,1996-08-27,Confections,240.0,1996-08
10290,77,10.4,10,Original Frankfurter grüne Soße,2,COMMI,1996-08-27,Condiments,104.0,1996-08
10291,13,4.8,20,Konbu,8,QUEDE,1996-08-27,Seafood,96.0,1996-08
10291,44,15.5,24,Gula Malacca,2,QUEDE,1996-08-27,Condiments,372.0,1996-08
10291,51,42.4,2,Manjimup Dried Apples,7,QUEDE,1996-08-27,Produce,84.8,1996-08
10292,20,64.8,20,Sir Rodney's Marmalade,3,TRADH,1996-08-28,Confections,1296.0,1996-08
10293,18,50.0,12,Carnarvon Tigers,8,TORTU,1996-08-29,Seafood,600.0,1996-08
10293,24,3.6,10,Guaraná Fantástica,1,TORTU,1996-08-29,Beverages,36.0,1996-08
10293,63,35.1,5,Vegie-spread,2,TORTU,1996-08-29,Condiments,175.5,1996-08
10293,75,6.2,6,Rhönbräu Klosterbier,1,TORTU,1996-08-29,Beverages,37.2,1996-08
10294,1,14.4,18,Chai,1,RATTC,1996-08-30,Beverages,259.2,1996-08
10294,17,31.2,15,Alice Mutton,6,RATTC,1996-08-30,Meat/Poultry,468.0,1996-08
10294,43,36.8,15,Ipoh Coffee,1,RATTC,1996-08-30,Beverages,552.0,1996-08
10294,60,27.2,21,Camembert Pierrot,4,RATTC,1996-08-30,Dairy Products,571.1999999999999,1996-08
10294,75,6.2,6,Rhönbräu Klosterbier,1,RATTC,1996-08-30,Beverages,37.2,1996-08
10295,56,30.4,4,Gnocchi di nonna Alice,5,VINET,1996-09-02,Grains/Cereals,121.6,1996-09
10296,11,16.8,12,Queso Cabrales,4,LILAS,1996-09-03,Dairy Products,201.60000000000002,1996-09
10296,16,13.9,30,Pavlova,3,LILAS,1996-09-03,Confections,417.0,1996-09
10296,69,28.8,15,Gudbrandsdalsost,4,LILAS,1996-09-03,Dairy Products,432.0,1996-09
10297,39,14.4,60,Chartreuse verte,1,BLONP,1996-09-04,Beverages,864.0,1996-09
10297,72,27.8,20,Mozzarella di Giovanni,4,BLONP,1996-09-04,Dairy Products,556.0,1996-09
10298,2,15.2,40,Chang,1,HUNGO,1996-09-05,Beverages,608.0,1996-09
10298,36,15.2,40,Inlagd Sill,8,HUNGO,1996-09-05,Seafood,608.0,1996-09
10298,59,44.0,30,Raclette Courdavault,4,HUNGO,1996-09-05,Dairy Products,1320.0,1996-09
10298,62,39.4,15,Tarte au sucre,3,HUNGO,1996-09-05,Confections,591.0,1996-09
10299,19,7.3,15,Teatime Chocolate Biscuits,3,RICAR,1996-09-06,Confections,109.5,1996-09
10299,70,12.0,20,Outback Lager,1,RICAR,1996-09-06,Beverages,240.0,1996-09
10300,66,13.6,30,Louisiana Hot Spiced Okra,2,MAGAA,1996-09-09,Condiments,408.0,1996-09
10300,68,10.0,20,Scottish Longbreads,3,MAGAA,1996-09-09,Confections,200.0,1996-09
10301,40,14.7,10,Boston Crab Meat,8,WANDK,1996-09-09,Seafood,147.0,1996-09
10301,56,30.4,20,Gnocchi di nonna Alice,5,WANDK,1996-09-09,Grains/Cereals,608.0,1996-09
10302,17,31.2,40,Alice Mutton,6,SUPRD,1996-09-10,Meat/Poultry,1248.0,1996-09
10302,28,36.4,28,Rössle Sauerkraut,7,SUPRD,1996-09-10,Produce,1019.1999999999999,1996-09
10302,43,36.8,12,Ipoh Coffee,1,SUPRD,1996-09-10,Beverages,441.59999999999997,1996-09
10303,40,14.7,40,Boston Crab Meat,8,GODOS,1996-09-11,Seafood,588.0,1996-09
10303,65,16.8,30,Louisiana Fiery Hot Pepper Sauce,2,GODOS,1996-09-11,Condiments,504.0,1996-09
10303,68,10.0,15,Scottish Longbreads,3,GODOS,1996-09-11,Confections,150.0,1996-09
10304,49,16.0,30,Maxilaku,3,TORTU,1996-09-12,Confections,480.0,1996-09
10304,59,44.0,10,Raclette Courdavault,4,TORTU,1996-09-12,Dairy Products,440.0,1996-09
10304,71,17.2,2,Flotemysost,4,TORTU,1996-09-12,Dairy Products,34.4,1996-09
10305,18,50.0,25,Carnarvon Tigers,8,OLDWO,1996-09-13,Seafood,1250.0,1996-09
10305,29,99.0,25,Thüringer Rostbratwurst,6,OLDWO,1996-09-13,Meat/Poultry,2475.0,1996-09
10305,39,14.4,30,Chartreuse verte,1,OLDWO,1996-09-13,Beverages,432.0,1996-09
10306,30,20.7,10,Nord-Ost Matjeshering,8,ROMEY,1996-09-16,Seafood,207.0,1996-09
10306,53,26.2,10,Perth Pasties,6,ROMEY,1996-09-16,Meat/Poultry,262.0,1996-09
10306,54,5.9,5,Tourtière,6,ROMEY,1996-09-16,Meat/Poultry,29.5,1996-09
10307,62,39.4,10,Tarte au sucre,3,LONEP,1996-09-17,Confections,394.0,1996-09
10307,68,10.0,3,Scottish Longbreads,3,LONEP,1996-09-17,Confections,30.0,1996-09
10308,69,28.8,1,Gudbrandsdalsost,4,ANATR,1996-09-18,Dairy Products,28.8,1996-09
10308,70,12.0,5,Outback Lager,1,ANATR,1996-09-18,Beverages,60.0,1996-09
10309,4,17.6,20,Chef Anton's Cajun Seasoning,2,HUNGO,1996-09-19,Condiments,352.0,1996-09
10309,6,20.0,30,Grandma's Boysenberry Spread,2,HUNGO,1996-09-19,Condiments,600.0,1996-09
10309,42,11.2,2,Singaporean Hokkien Fried Mee,5,HUNGO,1996-09-19,Grains/Cereals,22.4,1996-09
10309,43,36.8,20,Ipoh Coffee,1,HUNGO,1996-09-19,Beverages,736.0,1996-09
10309,71,17.2,3,Flotemysost,4,HUNGO,1996-09-19,Dairy Products,51.599999999999994,1996-09
10310,16,13.9,10,Pavlova,3,THEBI,1996-09-20,Confections,139.0,1996-09
10310,62,39.4,5,Tarte au sucre,3,THEBI,1996-09-20,Confections,197.0,1996-09
10311,42,11.2,6,Singaporean Hokkien Fried Mee,5,DUMON,1996-09-20,Grains/Cereals,67.19999999999999,1996-09
10311,69,28.8,7,Gudbrandsdalsost,4,DUMON,1996-09-20,Dairy Products,201.6,1996-09
10312,28,36.4,4,Rössle Sauerkraut,7,WANDK,1996-09-23,Produce,145.6,1996-09
10312,43,36.8,24,Ipoh Coffee,1,WANDK,1996-09-23,Beverages,883.1999999999999,1996-09
10312,53,26.2,20,Perth Pasties,6,WANDK,1996-09-23,Meat/Poultry,524.0,1996-09
10312,75,6.2,10,Rhönbräu Klosterbier,1,WANDK,1996-09-23,Beverages,62.0,1996-09
10313,36,15.2,12,Inlagd Sill,8,QUICK,1996-09-24,Seafood,182.39999999999998,1996-09
10314,32,25.6,40,Mascarpone Fabioli,4,RATTC,1996-09-25,Dairy Products,1024.0,1996-09
10314,58,10.6,30,Escargots de Bourgogne,8,RATTC,1996-09-25,Seafood,318.0,1996-09
10314,62,39.4,25,Tarte au sucre,3,RATTC,1996-09-25,Confections,985.0,1996-09
10315,34,11.2,14,Sasquatch Ale,1,ISLAT,1996-09-26,Beverages,156.79999999999998,1996-09
10315,70,12.0,30,Outback Lager,1,ISLAT,1996-09-26,Beverages,360.0,1996-09
10316,41,7.7,10,Jack's New England Clam Chowder,8,RATTC,1996-09-27,Seafood,77.0,1996-09
10316,62,39.4,70,Tarte au sucre,3,RATTC,1996-09-27,Confections,2758.0,1996-09
10317,1,14.4,20,Chai,1,LONEP,1996-09-30,Beverages,288.0,1996-09
10318,41,7.7,20,Jack's New England Clam Chowder,8,ISLAT,1996-10-01,Seafood,154.0,1996-10
10318,76,14.4,6,Lakkalikööri,1,ISLAT,1996-10-01,Beverages,86.4,1996-10
10319,17,31.2,8,Alice Mutton,6,TORTU,1996-10-02,Meat/Poultry,249.6,1996-10
10319,28,36.4,14,Rössle Sauerkraut,7,TORTU,1996-10-02,Produce,509.59999999999997,1996-10
10319,76,14.4,30,Lakkalikööri,1,TORTU,1996-10-02,Beverages,432.0,1996-10
10320,71,17.2,30,Flotemysost,4,WARTH,1996-10-03,Dairy Products,516.0,1996-10
10321,35,14.4,10,Steeleye Stout,1,ISLAT,1996-10-03,Beverages,144.0,1996-10
10322,52,5.6,20,Filo Mix,5,PERIC,1996-10-04,Grains/Cereals,112.0,1996-10
10323,15,12.4,5,Genen Shouyu,2,KOENE,1996-10-07,Condiments,62.0,1996-10
10323,25,11.2,4,NuNuCa Nuß-Nougat-Creme,3,KOENE,1996-10-07,Confections,44.8,1996-10
10323,39,14.4,4,Chartreuse verte,1,KOENE,1996-10-07,Beverages,57.6,1996-10
10324,16,13.9,21,Pavlova,3,SAVEA,1996-10-08,Confections,291.90000000000003,1996-10
10324,35,14.4,70,Steeleye Stout,1,SAVEA,1996-10-08,Beverages,1008.0,1996-10
10324,46,9.6,30,Spegesild,8,SAVEA,1996-10-08,Seafood,288.0,1996-10
10324,59,44.0,40,Raclette Courdavault,4,SAVEA,1996-10-08,Dairy Products,1760.0,1996-10
10324,63,35.1,80,Vegie-spread,2,SAVEA,1996-10-08,Condiments,2808.0,1996-10
10325,6,20.0,6,Grandma's Boysenberry Spread,2,KOENE,1996-10-09,Condiments,120.0,1996-10
10325,13,4.8,12,Konbu,8,KOENE,1996-10-09,Seafood,57.599999999999994,1996-10
10325,14,18.6,9,Tofu,7,KOENE,1996-10-09,Produce,167.4,1996-10
10325,31,10.0,4,Gorgonzola Telino,4,KOENE,1996-10-09,Dairy Products,40.0,1996-10
10325,72,27.8,40,Mozzarella di Giovanni,4,KOENE,1996-10-09,Dairy Products,1112.0,1996-10
10326,4,17.6,24,Chef Anton's Cajun Seasoning,2,BOLID,1996-10-10,Condiments,422.40000000000003,1996-10
10326,57,15.6,16,Ravioli Angelo,5,BOLID,1996-10-10,Grains/Cereals,249.6,1996-10
10326,75,6.2,50,Rhönbräu Klosterbier,1,BOLID,1996-10-10,Beverages,310.0,1996-10
10327,2,15.2,25,Chang,1,FOLKO,1996-10-11,Beverages,380.0,1996-10
10327,11,16.8,50,Queso Cabrales,4,FOLKO,1996-10-11,Dairy Products,840.0,1996-10
10327,30,20.7,35,Nord-Ost Matjeshering,8,FOLKO,1996-10-11,Seafood,724.5,1996-10
10327,58,10.6,30,Escargots de Bourgogne,8,FOLKO,1996-10-11,Seafood,318.0,1996-10
10328,59,44.0,9,Raclette Courdavault,4,FURIB,1996-10-14,Dairy Products,396.0,1996-10
10328,65,16.8,40,Louisiana Fiery Hot Pepper Sauce,2,FURIB,1996-10-14,Condiments,672.0,1996-10
10328,68,10.0,10,Scottish Longbreads,3,FURIB,1996-10-14,Confections,100.0,1996-10
10329,19,7.3,10,Teatime Chocolate Biscuits,3,SPLIR,1996-10-15,Confections,73.0,1996-10
10329,30,20.7,8,Nord-Ost Matjeshering,8,SPLIR,1996-10-15,Seafood,165.6,1996-10
10329,38,210.8,20,Côte de Blaye,1,SPLIR,1996-10-15,Beverages,4216.0,1996-10
10329,56,30.4,12,Gnocchi di nonna Alice,5,SPLIR,1996-10-15,Grains/Cereals,364.79999999999995,1996-10
10330,26,24.9,50,Gumbär Gummibärchen,3,LILAS,1996-10-16,Confections,1245.0,1996-10
10330,72,27.8,25,Mozzarella di Giovanni,4,LILAS,1996-10-16,Dairy Products,695.0,1996-10
10331,54,5.9,15,Tourtière,6,BONAP,1996-10-16,Meat/Poultry,88.5,1996-10
10332,18,50.0,40,Carnarvon Tigers,8,MEREP,1996-10-17,Seafood,2000.0,1996-10
10332,42,11.2,10,Singaporean Hokkien Fried Mee,5,MEREP,1996-10-17,Grains/Cereals,112.0,1996-10
10332,47,7.6,16,Zaanse koeken,3,MEREP,1996-10-17,Confections,121.6,1996-10
10333,14,18.6,10,Tofu,7,WARTH,1996-10-18,Produce,186.0,1996-10
10333,21,8.0,10,Sir Rodney's Scones,3,WARTH,1996-10-18,Confections,80.0,1996-10
10333,71,17.2,40,Flotemysost,4,WARTH,1996-10-18,Dairy Products,688.0,1996-10
10334,52,5.6,8,Filo Mix,5,VICTE,1996-10-21,Grains/Cereals,44.8,1996-10
10334,68,10.0,10,Scottish Longbreads,3,VICTE,1996-10-21,Confections,100.0,1996-10
10335,2,15.2,7,Chang,1,HUNGO,1996-10-22,Beverages,106.39999999999999,1996-10
10335,31,10.0,25,Gorgonzola Telino,4,HUNGO,1996-10-22,Dairy Products,250.0,1996-10
10335,32,25.6,6,Mascarpone Fabioli,4,HUNGO,1996-10-22,Dairy Products,153.60000000000002,1996-10
10335,51,42.4,48,Manjimup Dried Apples,7,HUNGO,1996-10-22,Produce,2035.1999999999998,1996-10
10336,4,17.6,18,Chef Anton's Cajun Seasoning,2,PRINI,1996-10-23,Condiments,316.8,1996-10
10337,23,7.2,40,Tunnbröd,5,FRANK,1996-10-24,Grains/Cereals,288.0,1996-10
10337,26,24.9,24,Gumbär Gummibärchen,3,FRANK,1996-10-24,Confections,597.5999999999999,1996-10
10337,36,15.2,20,Inlagd Sill,8,FRANK,1996-10-24,Seafood,304.0,1996-10
10337,37,20.8,28,Gravad lax,8,FRANK,1996-10-24,Seafood,582.4,1996-10
10337,72,27.8,25,Mozzarella di Giovanni,4,FRANK,1996-10-24,Dairy Products,695.0,1996-10
10338,17,31.2,20,Alice Mutton,6,OLDWO,1996-10-25,Meat/Poultry,624.0,1996-10
10338,30,20.7,15,Nord-Ost Matjeshering,8,OLDWO,1996-10-25,Seafood,310.5,1996-10
10339,4,17.6,10,Chef Anton's Cajun Seasoning,2,MEREP,1996-10-28,Condiments,176.0,1996-10
10339,17,31.2,70,Alice Mutton,6,MEREP,1996-10-28,Meat/Poultry,2184.0,1996-10
10339,62,39.4,28,Tarte au sucre,3,MEREP,1996-10-28,Confections,1103.2,1996-10
10340,18,50.0,20,Carnarvon Tigers,8,BONAP,1996-10-29,Seafood,1000.0,1996-10
10340,41,7.7,12,Jack's New England Clam Chowder,8,BONAP,1996-10-29,Seafood,92.4,1996-10
10340,43,36.8,40,Ipoh Coffee,1,BONAP,1996-10-29,Beverages,1472.0,1996-10
10341,33,2.0,8,Geitost,4,SIMOB,1996-10-29,Dairy Products,16.0,1996-10
10341,59,44.0,9,Raclette Courdavault,4,SIMOB,1996-10-29,Dairy Products,396.0,1996-10
10342,2,15.2,24,Chang,1,FRANK,1996-10-30,Beverages,364.79999999999995,1996-10
10342,31,10.0,56,Gorgonzola Telino,4,FRANK,1996-10-30,Dairy Products,560.0,1996-10
10342,36,15.2,40,Inlagd Sill,8,FRANK,1996-10-30,Seafood,608.0,1996-10
10342,55,19.2,40,Pâté chinois,6,FRANK,1996-10-30,Meat/Poultry,768.0,1996-10
10343,64,26.6,50,Wimmers gute Semmelknödel,5,LEHMS,1996-10-31,Grains/Cereals,1330.0,1996-10
10343,68,10.0,4,Scottish Longbreads,3,LEHMS,1996-10-31,Confections,40.0,1996-10
10343,76,14.4,15,Lakkalikööri,1,LEHMS,1996-10-31,Beverages,216.0,1996-10
10344,4,17.6,35,Chef Anton's Cajun Seasoning,2,WHITC,1996-11-01,Condiments,616.0,1996-11
10344,8,32.0,70,Northwoods Cranberry Sauce,2,WHITC,1996-11-01,Condiments,2240.0,1996-11
10345,8,32.0,70,Northwoods Cranberry Sauce,2,QUICK,1996-11-04,Condiments,2240.0,1996-11
10345,19,7.3,80,Teatime Chocolate Biscuits,3,QUICK,1996-11-04,Confections,584.0,1996-11
10345,42,11.2,9,Singaporean Hokkien Fried Mee,5,QUICK,1996-11-04,Grains/Cereals,100.8,1996-11
10346,17,31.2,36,Alice Mutton,6,RATTC,1996-11-05,Meat/Poultry,1123.2,1996-11
10346,56,30.4,20,Gnocchi di nonna Alice,5,RATTC,1996-11-05,Grains/Cereals,608.0,1996-11
10347,25,11.2,10,NuNuCa Nuß-Nougat-Creme,3,FAMIA,1996-11-06,Confections,112.0,1996-11
10347,39,14.4,50,Chartreuse verte,1,FAMIA,1996-11-06,Beverages,720.0,1996-11
10347,40,14.7,4,Boston Crab Meat,8,FAMIA,1996-11-06,Seafood,58.8,1996-11
10347,75,6.2,6,Rhönbräu Klosterbier,1,FAMIA,1996-11-06,Beverages,37.2,1996-11
10348,1,14.4,15,Chai,1,WANDK,1996-11-07,Beverages,216.0,1996-11
10348,23,7.2,25,Tunnbröd,5,WANDK,1996-11-07,Grains/Cereals,180.0,1996-11
